date,downloads
2024-01-01,1000
2024-01-02,2000
2024-01-03,3000
2024-01-04,4000
2024-01-05,5000
2024-01-06,6000
2024-01-07,7000
2024-01-08,8000
2024-01-09,9000
2024-01-10,10000
2024-01-11,11000
2024-01-12,12000
2024-01-13,13000
2024-01-14,14000
2024-01-15,15000
2024-01-16,16000
2024-01-17,17000
2024-01-18,18000
2024-01-19,19000
2024-01-20,20000
2024-01-21,21000
2024-01-22,22000
2024-01-23,23000
2024-01-24,24000
2024-01-25,25000
2024-01-26,26000
2024-01-27,27000
2024-01-28,28000
2024-01-29,29000
2024-01-30,30000
